GSMID,UID,Name,GSEID,GEO Sample Description
GSM1014803,D000230|D003110,Adenocarcinoma|Colonic Neoplasms,GSE41328,"AFX platform, lab 1, tumor, colon adenocarcinoma, biological rep 1|Sample type T (Tumor, colon adenocarcinoma)|tissue: Tumor, colon adenocarcinoma|lab: 1"
GSM1014804,D000230|D003110,Adenocarcinoma|Colonic Neoplasms,GSE41328,"AFX platform, lab 1, tumor, colon adenocarcinoma, biological rep 2|Sample type T (Tumor, colon adenocarcinoma)|tissue: Tumor, colon adenocarcinoma|lab: 1"
GSM1014805,D000230|D003110,Adenocarcinoma|Colonic Neoplasms,GSE41328,"AFX platform, lab 1, tumor, colon adenocarcinoma, biological rep 3|Sample type T (Tumor, colon adenocarcinoma)|tissue: Tumor, colon adenocarcinoma|lab: 1"
GSM1014806,D000230|D003110,Adenocarcinoma|Colonic Neoplasms,GSE41328,"AFX platform, lab 1, tumor, colon adenocarcinoma, biological rep 4|Sample type T (Tumor, colon adenocarcinoma)|tissue: Tumor, colon adenocarcinoma|lab: 1"
GSM1014807,D000230|D003110,Adenocarcinoma|Colonic Neoplasms,GSE41328,"AFX platform, lab 1, tumor, colon adenocarcinoma, biological rep 5|Sample type T (Tumor, colon adenocarcinoma)|tissue: Tumor, colon adenocarcinoma|lab: 1"
GSM1014808,D000000,Control,GSE41328,"AFX platform, lab 2, matched normal colon tissue, biological rep 1|Sample type N (Normal, matched normal colon tissue)|tissue: Normal, matched normal colon tissue|lab: 2"
GSM1014809,D000000,Control,GSE41328,"AFX platform, lab 2, matched normal colon tissue, biological rep 2|Sample type N (Normal, matched normal colon tissue)|tissue: Normal, matched normal colon tissue|lab: 2"
GSM1014810,D000000,Control,GSE41328,"AFX platform, lab 2, matched normal colon tissue, biological rep 3|Sample type N (Normal, matched normal colon tissue)|tissue: Normal, matched normal colon tissue|lab: 2"
GSM1014811,D000000,Control,GSE41328,"AFX platform, lab 2, matched normal colon tissue, biological rep 4|Sample type N (Normal, matched normal colon tissue)|tissue: Normal, matched normal colon tissue|lab: 2"
GSM1014812,D000000,Control,GSE41328,"AFX platform, lab 2, matched normal colon tissue, biological rep 5|Sample type N (Normal, matched normal colon tissue)|tissue: Normal, matched normal colon tissue|lab: 2"
GSM1014813,D000230|D003110,Adenocarcinoma|Colonic Neoplasms,GSE41328,"AFX platform, lab 2, tumor, colon adenocarcinoma, biological rep 1|Sample type T (Tumor, colon adenocarcinoma)|tissue: Tumor, colon adenocarcinoma|lab: 2"
GSM1014814,D000230|D003110,Adenocarcinoma|Colonic Neoplasms,GSE41328,"AFX platform, lab 2, tumor, colon adenocarcinoma, biological rep 2|Sample type T (Tumor, colon adenocarcinoma)|tissue: Tumor, colon adenocarcinoma|lab: 2"
GSM1014815,D000230|D003110,Adenocarcinoma|Colonic Neoplasms,GSE41328,"AFX platform, lab 2, tumor, colon adenocarcinoma, biological rep 3|Sample type T (Tumor, colon adenocarcinoma)|tissue: Tumor, colon adenocarcinoma|lab: 2"
GSM1014816,D000230|D003110,Adenocarcinoma|Colonic Neoplasms,GSE41328,"AFX platform, lab 2, tumor, colon adenocarcinoma, biological rep 4|Sample type T (Tumor, colon adenocarcinoma)|tissue: Tumor, colon adenocarcinoma|lab: 2"
GSM1014817,D000230|D003110,Adenocarcinoma|Colonic Neoplasms,GSE41328,"AFX platform, lab 2, tumor, colon adenocarcinoma, biological rep 5|Sample type T (Tumor, colon adenocarcinoma)|tissue: Tumor, colon adenocarcinoma|lab: 2"
GSM1021248,D011565,Psoriasis,GSE41662,1134 lesional|Lesional skin biopsy from psoriasis patient|tissue type: Lesional skin
GSM1021249,D000000,Control,GSE41662,1134 non-lesional|Non-lesional skin biopsy from psoriasis patient|tissue type: Non-lesional skin
GSM1021250,D011565,Psoriasis,GSE41662,1135 lesional|Lesional skin biopsy from psoriasis patient|tissue type: Lesional skin
GSM1021251,D000000,Control,GSE41662,1135 non-lesional|Non-lesional skin biopsy from psoriasis patient|tissue type: Non-lesional skin
GSM1021252,D011565,Psoriasis,GSE41662,1138 lesional|Lesional skin biopsy from psoriasis patient|tissue type: Lesional skin
GSM1021253,D000000,Control,GSE41662,1138 non-lesional|Non-lesional skin biopsy from psoriasis patient|tissue type: Non-lesional skin
GSM1021254,D011565,Psoriasis,GSE41662,1141 lesional|Lesional skin biopsy from psoriasis patient|tissue type: Lesional skin
GSM1021255,D000000,Control,GSE41662,1141 non-lesional|Non-lesional skin biopsy from psoriasis patient|tissue type: Non-lesional skin
GSM1021256,D011565,Psoriasis,GSE41662,1139 lesional|Lesional skin biopsy from psoriasis patient|tissue type: Lesional skin
GSM1021257,D000000,Control,GSE41662,1139 non-lesional|Non-lesional skin biopsy from psoriasis patient|tissue type: Non-lesional skin
GSM1021258,D011565,Psoriasis,GSE41662,3005 lesional|Lesional skin biopsy from psoriasis patient|tissue type: Lesional skin
GSM1021259,D000000,Control,GSE41662,3005 non-lesional|Non-lesional skin biopsy from psoriasis patient|tissue type: Non-lesional skin
GSM1021260,D011565,Psoriasis,GSE41662,1145 lesional|Lesional skin biopsy from psoriasis patient|tissue type: Lesional skin
GSM1021261,D000000,Control,GSE41662,1145 non-lesional|Non-lesional skin biopsy from psoriasis patient|tissue type: Non-lesional skin
GSM1021262,D011565,Psoriasis,GSE41662,3008 lesional|Lesional skin biopsy from psoriasis patient|tissue type: Lesional skin
GSM1021263,D000000,Control,GSE41662,3008 non-lesional|Non-lesional skin biopsy from psoriasis patient|tissue type: Non-lesional skin
GSM1021264,D011565,Psoriasis,GSE41662,3002 lesional|Lesional skin biopsy from psoriasis patient|tissue type: Lesional skin
GSM1021265,D000000,Control,GSE41662,3002 non-lesional|Non-lesional skin biopsy from psoriasis patient|tissue type: Non-lesional skin
GSM1021266,D011565,Psoriasis,GSE41662,3003 lesional|Lesional skin biopsy from psoriasis patient|tissue type: Lesional skin
GSM1021267,D000000,Control,GSE41662,3003 non-lesional|Non-lesional skin biopsy from psoriasis patient|tissue type: Non-lesional skin
GSM1021268,D011565,Psoriasis,GSE41662,1147 lesional|Lesional skin biopsy from psoriasis patient|tissue type: Lesional skin
GSM1021269,D000000,Control,GSE41662,1147 non-lesional|Non-lesional skin biopsy from psoriasis patient|tissue type: Non-lesional skin
GSM1021270,D011565,Psoriasis,GSE41662,1148 lesional|Lesional skin biopsy from psoriasis patient|tissue type: Lesional skin
GSM1021271,D000000,Control,GSE41662,1148 non-lesional|Non-lesional skin biopsy from psoriasis patient|tissue type: Non-lesional skin
GSM1021272,D011565,Psoriasis,GSE41662,1153 lesional|Lesional skin biopsy from psoriasis patient|tissue type: Lesional skin
GSM1021273,D000000,Control,GSE41662,1153 non-lesional|Non-lesional skin biopsy from psoriasis patient|tissue type: Non-lesional skin
GSM1021274,D011565,Psoriasis,GSE41662,3016 lesional|Lesional skin biopsy from psoriasis patient|tissue type: Lesional skin
GSM1021275,D000000,Control,GSE41662,3016 non-lesional|Non-lesional skin biopsy from psoriasis patient|tissue type: Non-lesional skin
GSM1021276,D011565,Psoriasis,GSE41662,3019 lesional|Lesional skin biopsy from psoriasis patient|tissue type: Lesional skin
GSM1021277,D000000,Control,GSE41662,3019 non-lesional|Non-lesional skin biopsy from psoriasis patient|tissue type: Non-lesional skin
GSM1021278,D011565,Psoriasis,GSE41662,3021 lesional|Lesional skin biopsy from psoriasis patient|tissue type: Lesional skin
GSM1021279,D000000,Control,GSE41662,3021 non-lesional|Non-lesional skin biopsy from psoriasis patient|tissue type: Non-lesional skin
GSM1021280,D011565,Psoriasis,GSE41662,4002 lesional|Lesional skin biopsy from psoriasis patient|tissue type: Lesional skin
GSM1021281,D000000,Control,GSE41662,4002 non-lesional|Non-lesional skin biopsy from psoriasis patient|tissue type: Non-lesional skin
GSM1021282,D011565,Psoriasis,GSE41662,4003 lesional|Lesional skin biopsy from psoriasis patient|tissue type: Lesional skin
GSM1021283,D000000,Control,GSE41662,4003 non-lesional|Non-lesional skin biopsy from psoriasis patient|tissue type: Non-lesional skin
GSM1021284,D011565,Psoriasis,GSE41662,4007 lesional|Lesional skin biopsy from psoriasis patient|tissue type: Lesional skin
GSM1021285,D000000,Control,GSE41662,4007 non-lesional|Non-lesional skin biopsy from psoriasis patient|tissue type: Non-lesional skin
GSM1021286,D011565,Psoriasis,GSE41662,4006 lesional|Lesional skin biopsy from psoriasis patient|tissue type: Lesional skin
GSM1021287,D000000,Control,GSE41662,4006 non-lesional|Non-lesional skin biopsy from psoriasis patient|tissue type: Non-lesional skin
GSM1021288,D011565,Psoriasis,GSE41662,4013 lesional|Lesional skin biopsy from psoriasis patient|tissue type: Lesional skin
GSM1021289,D000000,Control,GSE41662,4013 non-lesional|Non-lesional skin biopsy from psoriasis patient|tissue type: Non-lesional skin
GSM1021290,D011565,Psoriasis,GSE41662,4008 lesional|Lesional skin biopsy from psoriasis patient|tissue type: Lesional skin
GSM1021291,D000000,Control,GSE41662,4008 non-lesional|Non-lesional skin biopsy from psoriasis patient|tissue type: Non-lesional skin
GSM1021292,D011565,Psoriasis,GSE41662,1156 lesional|Lesional skin biopsy from psoriasis patient|tissue type: Lesional skin
GSM1021293,D000000,Control,GSE41662,1156 non-lesional|Non-lesional skin biopsy from psoriasis patient|tissue type: Non-lesional skin
GSM1021294,D011565,Psoriasis,GSE41662,4016 lesional|Lesional skin biopsy from psoriasis patient|tissue type: Lesional skin
GSM1021295,D000000,Control,GSE41662,4016 non-lesional|Non-lesional skin biopsy from psoriasis patient|tissue type: Non-lesional skin
GSM1038341,D004938|D000230,Esophageal Neoplasms|Adenocarcinoma,GSE42363,ESO-837|esophageal adenocarcinoma (EAC) primary tumor|tissue type: Tumor|gender: male|age: 58|ethnicity: Caucasian|location: esophagus|tumor grade: moderately|barrett's associated: yes|pathological t: T1b|pathological n: 0|clinical m: 0|smoking status: no|pack years: 0|fraction of ap*a mutations: 0.05|non-silent mutation rate per mb (wes): 3.49
GSM1038342,D004938|D000230,Esophageal Neoplasms|Adenocarcinoma,GSE42363,ESO-838|esophageal adenocarcinoma (EAC) primary tumor|tissue type: Tumor|gender: male|age: 81|ethnicity: Caucasian|location: esophagus|tumor grade: moderately|barrett's associated: yes|pathological t: T1b|pathological n: 0|clinical m: 0|smoking status: no|pack years: 0|fraction of ap*a mutations: 0.12|non-silent mutation rate per mb (wes): 3.93
GSM1038343,D004938|D000230,Esophageal Neoplasms|Adenocarcinoma,GSE42363,ESO-874|esophageal adenocarcinoma (EAC) primary tumor|tissue type: Tumor|gender: male|age: 72|ethnicity: Caucasian|location: esophagus|tumor grade: poorly|barrett's associated: yes|pathological t: T3|pathological n: 2|clinical m: 0|smoking status: no|pack years: 0|fraction of ap*a mutations: 0.07|non-silent mutation rate per mb (wes): 2.99
GSM1038344,D004938|D000230,Esophageal Neoplasms|Adenocarcinoma,GSE42363,ESO-913|esophageal adenocarcinoma (EAC) primary tumor|tissue type: Tumor|gender: female|age: 64|ethnicity: Caucasian|location: esophagus|tumor grade: moderately|barrett's associated: no|pathological t: T3|pathological n: 1|clinical m: 0|smoking status: no|pack years: 0|fraction of ap*a mutations: 0.09|non-silent mutation rate per mb (wes): 2.86
GSM1038345,D004938|D000230,Esophageal Neoplasms|Adenocarcinoma,GSE42363,ESO-1060|esophageal adenocarcinoma (EAC) primary tumor|tissue type: Tumor|gender: male|age: 78|ethnicity: Caucasian|location: esophagus|tumor grade: moderately|barrett's associated: yes|pathological t: T1b|pathological n: 0|clinical m: 0|smoking status: no|pack years: 0|fraction of ap*a mutations: 0.09|non-silent mutation rate per mb (wes): 4.19
GSM1038346,D004938|D000230,Esophageal Neoplasms|Adenocarcinoma,GSE42363,ESO-130|esophageal adenocarcinoma (EAC) primary tumor|tissue type: Tumor|gender: male|age: 76|ethnicity: Caucasian|location: esophagus|tumor grade: moderately|barrett's associated: yes|pathological t: T2|pathological n: 0|clinical m: 0|smoking status: yes-former|pack years: 10|fraction of ap*a mutations: 0.06|non-silent mutation rate per mb (wes): 2.67
GSM1038347,D004938|D000230,Esophageal Neoplasms|Adenocarcinoma,GSE42363,ESO-582|esophageal adenocarcinoma (EAC) primary tumor|tissue type: Tumor|gender: male|age: 53|ethnicity: Caucasian|location: esophagus|tumor grade: poorly|barrett's associated: no|pathological t: T3|pathological n: 3|clinical m: 0|smoking status: yes- current|pack years: 40|fraction of ap*a mutations: 0.15|non-silent mutation rate per mb (wes): 2.98
GSM1038348,D004938|D000230,Esophageal Neoplasms|Adenocarcinoma,GSE42363,ESO-601|esophageal adenocarcinoma (EAC) primary tumor|tissue type: Tumor|gender: male|age: 76|ethnicity: Caucasian|location: esophagus|tumor grade: moderately|barrett's associated: yes|pathological t: T1b|pathological n: 2|clinical m: 0|smoking status: yes-former|pack years: 20|fraction of ap*a mutations: 0.03|non-silent mutation rate per mb (wes): 3.5
GSM1038349,D004938|D000230,Esophageal Neoplasms|Adenocarcinoma,GSE42363,ESO-682|esophageal adenocarcinoma (EAC) primary tumor|tissue type: Tumor|gender: male|age: 59|ethnicity: Caucasian|location: esophagus|tumor grade: moderately|barrett's associated: yes|pathological t: T1b|pathological n: 0|clinical m: 0|smoking status: yes-current|pack years: 12|fraction of ap*a mutations: 0.11|non-silent mutation rate per mb (wes): 3.79
GSM1038350,D004938|D000230,Esophageal Neoplasms|Adenocarcinoma,GSE42363,ESO-718|esophageal adenocarcinoma (EAC) primary tumor|tissue type: Tumor|gender: male|age: 57|ethnicity: Caucasian|location: esophagus|tumor grade: moderately|barrett's associated: yes|pathological t: T3|pathological n: 2|clinical m: 0|smoking status: yes-former|pack years: 20|fraction of ap*a mutations: 0.02|non-silent mutation rate per mb (wes): 2.64
GSM1038351,D004938|D000230,Esophageal Neoplasms|Adenocarcinoma,GSE42363,ESO-721|esophageal adenocarcinoma (EAC) primary tumor|tissue type: Tumor|gender: female|age: 68|ethnicity: Caucasian|location: esophagus|tumor grade: moderately|barrett's associated: yes|pathological t: T1b|pathological n: 0|clinical m: 0|smoking status: no|pack years: 0|fraction of ap*a mutations: 0.06|non-silent mutation rate per mb (wes): 8.35
GSM1038352,D004938|D000230,Esophageal Neoplasms|Adenocarcinoma,GSE42363,ESO-774|esophageal adenocarcinoma (EAC) primary tumor|tissue type: Tumor|gender: male|age: 54|ethnicity: Caucasian|location: esophagus|tumor grade: poorly|barrett's associated: no|pathological t: T3|pathological n: 3|clinical m: 0|smoking status: yes-former|pack years: 7|fraction of ap*a mutations: NA|non-silent mutation rate per mb (wes): NA
GSM1038353,D004938|D000230,Esophageal Neoplasms|Adenocarcinoma,GSE42363,ESO-327|esophageal adenocarcinoma (EAC) primary tumor|tissue type: Tumor|gender: male|age: 57|ethnicity: Caucasian|location: esophagus|tumor grade: poorly|barrett's associated: no|pathological t: T3|pathological n: 3|clinical m: 0|smoking status: no|pack years: 0|fraction of ap*a mutations: 0.30|non-silent mutation rate per mb (wes): 4.42
GSM1038354,D004938|D000230,Esophageal Neoplasms|Adenocarcinoma,GSE42363,ESO-409|esophageal adenocarcinoma (EAC) primary tumor|tissue type: Tumor|gender: male|age: 45|ethnicity: Caucasian|location: esophagus|tumor grade: moderately|barrett's associated: yes|pathological t: T1a|pathological n: 1|clinical m: 0|smoking status: no|pack years: 0|fraction of ap*a mutations: 0.08|non-silent mutation rate per mb (wes): 2.8
GSM1045191,D000000,Control,GSE42568,"Normal breast, N1_15_12_04|Breast tissue, normal|tissue: normal breast|age: NA|er_status: NA|size: NA|grade: NA|lymph node status: NA|relapse free survival time_days: NA|relapse free survival event: NA|overall survival time_days: NA|overall survival event: NA"
GSM1045192,D000000,Control,GSE42568,"Normal breast, N4_14_12_04|Breast tissue, normal|tissue: normal breast|age: NA|er_status: NA|size: NA|grade: NA|lymph node status: NA|relapse free survival time_days: NA|relapse free survival event: NA|overall survival time_days: NA|overall survival event: NA"
GSM1045193,D000000,Control,GSE42568,"Normal breast, N5_15_12_04|Breast tissue, normal|tissue: normal breast|age: NA|er_status: NA|size: NA|grade: NA|lymph node status: NA|relapse free survival time_days: NA|relapse free survival event: NA|overall survival time_days: NA|overall survival event: NA"
GSM1045194,D000000,Control,GSE42568,"Normal breast, N6_14_12_04|Breast tissue, normal|tissue: normal breast|age: NA|er_status: NA|size: NA|grade: NA|lymph node status: NA|relapse free survival time_days: NA|relapse free survival event: NA|overall survival time_days: NA|overall survival event: NA"
GSM1045195,D000000,Control,GSE42568,"Normal breast, P1_15_12_04|Breast tissue, normal|tissue: normal breast|age: NA|er_status: NA|size: NA|grade: NA|lymph node status: NA|relapse free survival time_days: NA|relapse free survival event: NA|overall survival time_days: NA|overall survival event: NA"
GSM1045196,D000000,Control,GSE42568,"Normal breast, P10_26_1_05|Breast tissue, normal|tissue: normal breast|age: NA|er_status: NA|size: NA|grade: NA|lymph node status: NA|relapse free survival time_days: NA|relapse free survival event: NA|overall survival time_days: NA|overall survival event: NA"
GSM1045197,D000000,Control,GSE42568,"Normal breast, P11_25_1_05|Breast tissue, normal|tissue: normal breast|age: NA|er_status: NA|size: NA|grade: NA|lymph node status: NA|relapse free survival time_days: NA|relapse free survival event: NA|overall survival time_days: NA|overall survival event: NA"
GSM1045198,D000000,Control,GSE42568,"Normal breast, P12_25_1_05|Breast tissue, normal|tissue: normal breast|age: NA|er_status: NA|size: NA|grade: NA|lymph node status: NA|relapse free survival time_days: NA|relapse free survival event: NA|overall survival time_days: NA|overall survival event: NA"
GSM1045199,D000000,Control,GSE42568,"Normal breast, P13_25_1_05|Breast tissue, normal|tissue: normal breast|age: NA|er_status: NA|size: NA|grade: NA|lymph node status: NA|relapse free survival time_days: NA|relapse free survival event: NA|overall survival time_days: NA|overall survival event: NA"
GSM1045200,D000000,Control,GSE42568,"Normal breast, P14_25_1_05|Breast tissue, normal|tissue: normal breast|age: NA|er_status: NA|size: NA|grade: NA|lymph node status: NA|relapse free survival time_days: NA|relapse free survival event: NA|overall survival time_days: NA|overall survival event: NA"
GSM1045201,D000000,Control,GSE42568,"Normal breast, P18_25_1_05|Breast tissue, normal|tissue: normal breast|age: NA|er_status: NA|size: NA|grade: NA|lymph node status: NA|relapse free survival time_days: NA|relapse free survival event: NA|overall survival time_days: NA|overall survival event: NA"
GSM1045202,D000000,Control,GSE42568,"Normal breast, P21_25_1_05|Breast tissue, normal|tissue: normal breast|age: NA|er_status: NA|size: NA|grade: NA|lymph node status: NA|relapse free survival time_days: NA|relapse free survival event: NA|overall survival time_days: NA|overall survival event: NA"
GSM1045203,D000000,Control,GSE42568,"Normal breast, P3_22_12_04|Breast tissue, normal|tissue: normal breast|age: NA|er_status: NA|size: NA|grade: NA|lymph node status: NA|relapse free survival time_days: NA|relapse free survival event: NA|overall survival time_days: NA|overall survival event: NA"
GSM1045204,D000000,Control,GSE42568,"Normal breast, P4_14_12_04|Breast tissue, normal|tissue: normal breast|age: NA|er_status: NA|size: NA|grade: NA|lymph node status: NA|relapse free survival time_days: NA|relapse free survival event: NA|overall survival time_days: NA|overall survival event: NA"
GSM1045205,D000000,Control,GSE42568,"Normal breast, P5_21_12_04|Breast tissue, normal|tissue: normal breast|age: NA|er_status: NA|size: NA|grade: NA|lymph node status: NA|relapse free survival time_days: NA|relapse free survival event: NA|overall survival time_days: NA|overall survival event: NA"
GSM1045206,D000000,Control,GSE42568,"Normal breast, P8_25_1_05|Breast tissue, normal|tissue: normal breast|age: NA|er_status: NA|size: NA|grade: NA|lymph node status: NA|relapse free survival time_days: NA|relapse free survival event: NA|overall survival time_days: NA|overall survival event: NA"
GSM1045207,D000000,Control,GSE42568,"Normal breast, P9_25_1_05|Breast tissue, normal|tissue: normal breast|age: NA|er_status: NA|size: NA|grade: NA|lymph node status: NA|relapse free survival time_days: NA|relapse free survival event: NA|overall survival time_days: NA|overall survival event: NA"
GSM107522,D000000,Control,GSE4757,"brain, Entorhinal Cortex: 00 28 normal_e1_le1|brain, Entorhinal Cortex"
GSM107523,D000544,Alzheimer Disease,GSE4757,"brain, Entorhinal Cortex: 00-28 tangle_e1_le1|brain, Entorhinal Cortex"
GSM107524,D000000,Control,GSE4757,"brain, Entorhinal Cortex: 01-22 normal_e1_le1|brain, Entorhinal Cortex"
GSM107525,D000544,Alzheimer Disease,GSE4757,"brain, Entorhinal Cortex: 01-22 tangle_e1_le1|brain, Entorhinal Cortex"
GSM107526,D000000,Control,GSE4757,"brain, Entorhinal Cortex: 95-08 normal_e1_le1|brain, Entorhinal Cortex"
GSM107527,D000544,Alzheimer Disease,GSE4757,"brain, Entorhinal Cortex: 95-08 tangle_e1_le1|brain, Entorhinal Cortex"
GSM107528,D000000,Control,GSE4757,"brain, Entorhinal Cortex: 96-18 normal_e1_le1|brain, Entorhinal Cortex"
GSM107529,D000544,Alzheimer Disease,GSE4757,"brain, Entorhinal Cortex: 96-18 tangle_e1_le1|brain, Entorhinal Cortex"
GSM107530,D000000,Control,GSE4757,"brain, Entorhinal Cortex: 96-31 normal_e1_le1|brain, Entorhinal Cortex"
GSM107531,D000544,Alzheimer Disease,GSE4757,"brain, Entorhinal Cortex: 96-31 tangle_e1_le1|brain, Entorhinal Cortex"
GSM107532,D000000,Control,GSE4757,"brain, Entorhinal Cortex: 97-01 normal_e1_le1|brain, Entorhinal Cortex"
GSM107533,D000544,Alzheimer Disease,GSE4757,"brain, Entorhinal Cortex: 97-01 tangle_e1_le1|brain, Entorhinal Cortex"
GSM107534,D000000,Control,GSE4757,"brain, Entorhinal Cortex: 98-18 normal_e1_le1|brain, Entorhinal Cortex"
GSM107535,D000544,Alzheimer Disease,GSE4757,"brain, Entorhinal Cortex: 98-18 tangle_e1_le1|brain, Entorhinal Cortex"
GSM107536,D000000,Control,GSE4757,"brain, Entorhinal Cortex: 99-21 normal_e1_le1|brain, Entorhinal Cortex"
GSM107537,D000544,Alzheimer Disease,GSE4757,"brain, Entorhinal Cortex: 99-21 tangle_e1_le1|brain, Entorhinal Cortex"
GSM107538,D000000,Control,GSE4757,"brain, Entorhinal Cortex: 99-28 normal_e1_le1|brain, Entorhinal Cortex"
GSM107539,D000544,Alzheimer Disease,GSE4757,"brain, Entorhinal Cortex: 99-28 tangle_e1_le1|brain, Entorhinal Cortex"
GSM107540,D000000,Control,GSE4757,"brain, Entorhinal Cortex: 99-33 normal_e1_le1|brain, Entorhinal Cortex"
GSM107541,D000544,Alzheimer Disease,GSE4757,"brain, Entorhinal Cortex: 99-33 tangle_e1_le1|brain, Entorhinal Cortex"
